UserID,Age,Gender,Education,Preferred Industry,career_label,Writing,Finance,Programming,Engineering,Healthcare,Design,Marketing,Technology,Entertainment,Sports,Arts
1,21,0,0,1,Doctor,1,0,1,0,1,0,0,0,0,0,0
2,59,2,0,4,Software Engineer,1,0,0,0,0,0,0,0,0,1,0
3,41,2,0,6,Data Scientist,1,0,0,0,1,0,1,0,0,0,0
4,24,2,0,5,Software Engineer,1,1,1,0,0,0,0,0,0,1,1
5,39,2,0,4,Artist,1,0,0,1,0,0,0,0,0,0,0
6,24,1,1,6,Financial Analyst,1,0,0,0,0,1,1,0,0,0,0
7,26,1,0,1,Teacher,0,0,1,0,0,1,0,0,0,0,1
8,52,1,1,4,Doctor,0,1,0,0,0,0,0,1,0,0,0
9,50,2,0,2,Graphic Designer,0,1,1,1,0,1,0,0,0,0,0
10,25,0,0,4,Doctor,0,1,0,0,0,0,1,0,1,0,0
11,44,2,0,3,Teacher,1,0,0,0,0,0,0,0,0,0,1
12,37,1,0,0,Artist,1,0,0,1,0,0,0,0,0,1,0
13,19,1,0,4,Marketing Manager,0,0,1,1,1,1,0,0,0,0,0
14,60,0,1,3,Graphic Designer,0,1,0,0,0,0,0,0,0,0,1
15,27,1,0,6,Sports Coach,0,1,0,0,0,0,1,0,1,1,0
16,47,1,0,4,Mechanical Engineer,0,1,1,1,0,0,0,1,0,0,0
17,18,0,1,3,Software Engineer,0,0,0,0,0,1,0,0,0,0,0
18,39,0,1,1,Software Engineer,0,0,0,0,0,1,1,0,0,1,0
19,19,1,1,3,Teacher,0,0,0,0,0,0,1,0,0,0,0
20,44,0,0,6,Sports Coach,1,0,1,1,0,0,0,0,0,0,1
21,33,2,0,2,Marketing Manager,1,0,1,0,0,1,0,0,0,0,1
22,36,1,0,2,Teacher,1,0,0,0,0,0,0,0,1,0,0
23,30,2,1,2,Artist,1,0,0,0,0,0,0,0,0,0,1
24,35,2,0,5,Artist,1,0,0,1,0,1,0,0,0,0,0
25,20,0,0,1,Marketing Manager,0,1,0,1,0,0,0,0,0,1,0
26,22,2,1,0,Mechanical Engineer,0,0,0,0,0,1,0,0,0,0,1
27,29,0,0,4,Doctor,0,0,1,0,0,0,0,0,0,0,1
28,53,1,0,6,Sports Coach,1,1,0,0,1,0,0,0,1,0,0
29,46,1,1,4,Marketing Manager,0,1,0,0,0,0,0,1,0,0,0
30,40,2,0,2,Data Scientist,0,1,0,1,1,0,0,0,0,0,0
31,34,0,1,3,Graphic Designer,1,0,0,0,0,0,0,0,0,1,0
32,56,1,0,3,Marketing Manager,0,1,1,0,0,0,0,0,1,0,0
33,25,1,0,2,Doctor,0,0,0,0,1,0,0,0,0,0,0
34,30,0,0,5,Mechanical Engineer,1,0,0,0,0,0,0,0,0,0,1
35,41,1,1,5,Financial Analyst,0,0,0,0,0,1,1,0,0,0,0
36,60,2,0,2,Doctor,0,0,0,0,0,0,0,0,0,1,0
37,45,2,1,5,Mechanical Engineer,0,1,0,0,0,0,0,0,0,0,1
38,57,2,0,3,Data Scientist,1,0,0,0,1,0,0,0,0,0,0
39,23,1,0,4,Data Scientist,0,0,1,0,1,1,0,1,0,0,0
40,42,1,0,2,Software Engineer,0,0,0,0,1,0,0,0,0,1,0
41,60,1,0,6,Teacher,0,1,0,0,0,0,0,0,0,1,0
42,58,2,0,4,Data Scientist,0,0,0,1,1,0,0,0,0,0,0
43,52,0,1,1,Artist,1,0,0,0,0,0,0,0,0,1,0
44,45,1,0,1,Sports Coach,1,0,1,1,0,0,0,1,0,0,0
45,42,2,0,6,Doctor,0,1,0,0,0,1,0,0,0,1,0
46,30,2,1,3,Mechanical Engineer,0,0,0,0,0,0,1,0,0,1,0
47,55,2,0,2,Doctor,0,0,0,0,0,1,0,0,0,1,0
48,21,0,0,4,Sports Coach,0,0,1,1,0,0,0,1,0,0,0
49,39,0,0,0,Sports Coach,0,0,1,1,0,0,0,0,0,0,0
50,59,1,0,0,Software Engineer,1,1,0,1,0,0,0,0,0,1,0
51,28,0,0,6,Financial Analyst,1,1,0,0,1,0,0,0,0,1,0
52,27,0,0,1,Doctor,0,0,0,0,0,1,0,0,0,0,1
53,31,0,0,2,Doctor,1,0,0,0,0,0,0,0,1,0,0
54,43,0,0,2,Financial Analyst,0,0,1,0,0,0,1,0,0,0,1
55,34,2,0,2,Mechanical Engineer,0,0,0,1,1,0,0,0,0,0,0
56,51,1,0,3,Mechanical Engineer,1,0,0,0,0,0,1,0,1,0,1
57,37,0,0,6,Software Engineer,0,0,1,0,0,1,0,0,0,1,0
58,38,1,0,3,Artist,1,0,0,0,0,0,0,1,0,0,0
59,25,1,0,0,Marketing Manager,0,1,0,0,1,0,0,0,0,1,0
60,41,1,0,5,Financial Analyst,0,0,0,1,0,0,0,0,0,1,0
61,33,1,0,1,Artist,1,0,1,1,0,0,1,0,0,0,0
62,35,0,1,4,Graphic Designer,0,1,0,0,0,0,0,0,0,0,1
63,40,2,1,5,Software Engineer,0,0,0,0,0,1,1,0,0,0,1
64,45,2,0,3,Sports Coach,0,0,0,0,1,0,0,0,1,0,0
65,42,1,0,4,Artist,0,1,0,0,0,0,0,0,0,1,1
66,23,0,0,3,Artist,1,0,0,0,1,0,0,0,0,0,0
67,38,0,0,3,Software Engineer,1,1,0,1,0,0,0,0,0,0,0
68,59,0,0,0,Mechanical Engineer,0,0,1,0,1,0,0,0,1,0,0
69,60,2,0,0,Graphic Designer,1,1,0,0,0,0,0,0,1,0,1
70,42,0,0,6,Artist,1,0,0,0,0,0,1,0,0,0,1
71,53,0,0,5,Data Scientist,1,0,1,0,1,0,0,0,0,0,0
72,50,1,0,6,Graphic Designer,0,1,0,1,1,0,0,0,0,0,0
73,35,2,0,4,Artist,0,1,0,0,0,0,1,0,1,0,0
74,37,0,0,1,Data Scientist,0,0,0,0,0,0,0,0,0,1,1
75,48,1,0,6,Teacher,0,0,1,0,0,0,0,0,0,1,0
76,25,0,0,2,Software Engineer,1,0,1,1,1,0,0,0,0,0,0
77,29,2,0,6,Data Scientist,0,0,1,0,0,1,0,0,0,1,0
78,56,0,0,6,Teacher,0,0,0,0,1,0,1,1,0,0,0
79,33,2,1,3,Marketing Manager,0,0,0,0,1,1,0,0,0,0,0
80,49,0,0,5,Marketing Manager,0,1,1,1,0,0,0,0,1,0,0
81,51,1,0,5,Financial Analyst,1,0,0,0,1,1,0,1,0,0,0
82,59,1,1,1,Software Engineer,0,0,1,0,1,1,0,0,0,0,0
83,33,1,1,5,Sports Coach,0,0,1,0,0,0,0,0,1,0,0
84,35,0,0,4,Marketing Manager,0,1,0,0,0,0,0,0,1,0,0
85,22,1,0,2,Mechanical Engineer,0,0,0,0,0,1,0,0,0,1,0
86,60,2,0,6,Teacher,1,0,0,1,0,0,1,0,0,0,1
87,20,1,0,2,Financial Analyst,1,0,1,0,1,0,0,0,0,1,0
88,47,0,1,2,Teacher,0,1,1,1,0,0,0,0,0,0,0
89,26,2,1,5,Software Engineer,1,1,0,1,0,0,0,0,0,0,0
90,57,2,1,3,Financial Analyst,0,1,1,0,0,0,0,0,0,0,1
91,40,0,0,6,Software Engineer,1,1,0,0,0,0,0,0,1,1,0
92,44,1,0,3,Sports Coach,1,0,0,1,0,1,0,0,0,0,0
93,47,1,0,4,Mechanical Engineer,0,0,1,0,0,1,0,0,1,0,1
94,49,0,0,2,Doctor,0,0,0,0,0,0,0,0,1,0,0
95,59,1,1,0,Data Scientist,1,1,0,0,0,1,0,0,0,0,0
96,60,2,0,5,Artist,1,0,0,1,0,0,0,0,0,1,0
97,46,1,0,4,Graphic Designer,0,1,0,0,1,0,0,0,0,0,0
98,47,0,0,3,Financial Analyst,0,0,0,1,0,0,1,1,0,0,0
99,31,1,1,3,Artist,1,0,0,0,0,0,0,0,0,1,0
100,45,0,0,0,Marketing Manager,0,1,0,1,0,0,1,1,0,0,0
101,34,2,0,5,Financial Analyst,0,0,1,1,0,1,1,1,0,0,0
102,35,1,0,5,Software Engineer,0,1,0,0,0,0,1,0,1,0,0
103,53,2,0,0,Software Engineer,1,0,0,1,0,0,1,1,0,0,0
104,39,2,0,6,Financial Analyst,0,1,0,0,0,0,0,1,0,0,0
105,53,2,1,4,Artist,0,0,0,0,0,0,0,0,0,0,1
106,38,2,0,4,Data Scientist,0,0,0,1,0,1,1,0,1,0,0
107,40,1,0,5,Software Engineer,0,1,0,1,0,1,0,0,1,0,0
108,48,1,1,3,Doctor,1,0,0,0,0,0,0,1,0,0,0
109,36,1,0,6,Artist,1,0,0,0,0,0,1,0,0,1,1
110,58,2,0,6,Software Engineer,0,0,0,0,1,1,0,0,0,1,0
111,60,0,0,6,Graphic Designer,1,1,0,0,0,0,0,0,1,0,0
112,36,1,1,2,Teacher,0,0,0,0,0,1,0,0,0,0,0
113,41,1,0,6,Mechanical Engineer,1,0,0,1,0,1,1,0,0,0,0
114,44,1,0,2,Doctor,0,0,0,0,1,1,0,0,1,0,0
115,29,2,0,4,Mechanical Engineer,0,0,0,0,0,0,0,0,1,1,0
116,35,2,1,5,Marketing Manager,0,0,0,0,0,1,1,1,0,0,0
117,38,1,0,5,Doctor,1,0,0,1,0,0,0,0,0,0,0
118,58,2,0,5,Graphic Designer,0,0,0,0,0,1,1,0,0,1,0
119,28,0,1,1,Teacher,0,0,1,0,0,0,1,0,0,0,1
120,50,2,0,6,Graphic Designer,1,0,1,0,0,1,0,0,0,0,1
121,26,1,0,6,Doctor,0,1,1,0,0,0,1,0,1,1,0
122,40,2,1,2,Doctor,1,0,0,0,0,0,0,0,0,0,0
123,23,0,1,2,Marketing Manager,0,0,1,0,0,0,0,0,0,0,0
124,50,2,0,6,Sports Coach,0,0,0,1,0,0,0,0,0,0,1
125,42,1,0,6,Artist,0,1,0,1,0,1,1,0,0,1,0
126,31,0,0,3,Artist,0,0,1,1,0,1,0,0,0,0,0
127,43,2,0,2,Software Engineer,0,0,0,1,0,0,1,0,0,0,1
128,29,1,0,3,Marketing Manager,1,0,0,0,1,0,0,1,0,0,0
129,29,0,0,0,Data Scientist,0,1,0,1,0,1,0,1,0,0,0
130,55,2,0,3,Marketing Manager,1,1,1,1,0,0,0,0,0,0,0
131,32,1,1,2,Mechanical Engineer,0,0,0,0,1,1,1,0,0,0,0
132,50,2,0,4,Marketing Manager,0,0,1,0,1,1,0,0,0,0,0
133,38,1,0,3,Artist,0,0,0,0,0,0,0,0,1,0,1
134,24,0,1,5,Mechanical Engineer,0,1,0,0,0,0,0,1,0,0,0
135,27,2,0,4,Graphic Designer,0,0,0,0,0,0,0,0,1,1,0
136,54,0,0,2,Data Scientist,0,1,1,0,1,0,1,0,0,0,0
137,53,0,0,2,Marketing Manager,0,1,0,0,0,0,1,1,0,1,0
138,51,1,0,4,Data Scientist,1,0,1,1,0,0,0,0,0,0,0
139,22,1,1,3,Teacher,0,1,1,1,0,0,0,0,0,0,0
140,38,0,1,5,Teacher,1,0,0,0,0,1,1,0,0,0,0
141,44,2,0,6,Marketing Manager,0,0,0,0,0,1,0,0,1,0,0
142,19,0,1,5,Data Scientist,1,0,0,0,0,0,0,0,0,0,1
143,42,2,0,4,Sports Coach,0,1,1,0,1,0,0,0,0,0,1
144,53,2,0,6,Data Scientist,0,0,0,0,1,1,0,0,0,1,0
145,43,0,0,1,Marketing Manager,1,0,1,0,0,0,0,1,0,0,1
146,57,0,0,5,Graphic Designer,1,0,1,0,0,0,1,0,1,0,0
147,38,1,0,1,Financial Analyst,1,0,1,0,0,0,0,1,0,0,1
148,46,1,0,2,Marketing Manager,1,0,1,0,0,0,0,0,0,1,1
149,20,2,0,1,Artist,0,0,0,0,0,0,1,0,1,0,0
150,41,1,1,3,Teacher,1,0,0,1,0,1,0,0,0,0,0
151,34,0,1,6,Graphic Designer,0,0,1,0,0,0,0,1,0,0,0
152,34,0,0,5,Data Scientist,0,0,0,0,1,0,1,1,0,0,0
153,34,0,0,6,Data Scientist,0,0,0,1,0,0,1,0,0,0,1
154,50,0,0,3,Data Scientist,0,1,1,0,1,1,0,0,0,0,1
155,47,1,0,5,Marketing Manager,0,1,0,1,0,0,0,0,0,0,0
156,35,1,0,3,Teacher,0,1,0,0,1,1,1,0,0,0,0
157,54,2,0,6,Financial Analyst,0,0,0,1,1,0,0,0,0,0,0
158,53,1,0,1,Marketing Manager,0,1,0,0,0,0,0,0,0,1,1
159,38,1,0,4,Artist,0,1,0,0,0,0,1,0,1,0,0
160,22,0,0,2,Mechanical Engineer,1,0,0,0,0,1,0,1,0,1,0
161,34,2,0,6,Software Engineer,1,0,0,0,1,0,0,1,0,0,0
162,26,1,0,0,Software Engineer,0,1,0,0,0,0,1,0,0,1,0
163,40,2,1,3,Sports Coach,0,0,1,0,0,0,0,1,0,0,0
164,40,2,0,4,Sports Coach,0,1,0,0,1,0,1,0,0,0,1
165,58,0,0,4,Financial Analyst,0,0,0,0,0,0,1,1,0,0,0
166,39,2,0,0,Mechanical Engineer,0,1,0,0,1,0,1,0,0,0,1
167,53,2,0,1,Data Scientist,0,1,0,0,1,0,1,0,0,0,0
168,30,2,0,0,Financial Analyst,0,1,0,0,0,0,1,1,0,1,0
169,20,1,0,6,Financial Analyst,0,0,0,1,0,1,1,0,0,0,1
170,34,1,0,4,Mechanical Engineer,1,0,0,0,0,1,0,0,0,1,1
171,59,0,0,5,Teacher,0,0,0,1,0,0,1,0,0,0,0
172,47,2,0,3,Graphic Designer,0,0,0,0,0,0,0,1,0,0,0
173,19,0,1,1,Marketing Manager,0,1,0,0,0,1,0,0,0,1,0
174,19,2,0,0,Artist,0,0,1,0,0,0,0,0,1,0,0
175,18,1,0,6,Graphic Designer,0,0,0,0,0,0,1,0,0,0,1
176,51,2,0,6,Software Engineer,0,0,0,0,0,1,0,1,0,0,1
177,55,2,0,5,Sports Coach,0,0,1,0,1,0,0,0,0,0,0
178,55,0,0,0,Mechanical Engineer,0,0,1,0,0,1,0,0,0,0,1
