UserID,Age,Gender,Education,Skills,Interests,Preferred Industry,career label
1,47,Female,Master's,"Design, Marketing, Engineering","Technology, Arts",Engineering,Teacher
2,19,Female,PhD,"Healthcare, Programming",Healthcare,Entertainment,Artist
3,33,Male,Bachelor's,"Healthcare, Writing",Arts,IT,Marketing Manager
4,31,Female,PhD,"Marketing, Design",Education,Engineering,Teacher
5,27,Female,PhD,Programming,"Healthcare, Technology",Entertainment,Doctor
6,49,Male,Bachelor's,"Marketing, Programming","Business, Arts",Marketing,Marketing Manager
7,28,Female,Master's,"Programming, Finance","Education, Arts",Finance,Software Engineer
8,24,Other,Bachelor's,Programming,"Business, Science",Education,Software Engineer
9,25,Male,PhD,"Marketing, Finance",Business,IT,Data Scientist
10,25,Other,PhD,"Programming, Finance, Writing",Arts,Finance,Financial Analyst
11,36,Female,PhD,"Data Analysis, Design",Arts,Finance,Doctor
12,37,Female,Bachelor's,Data Analysis,Education,Marketing,Mechanical Engineer
13,28,Male,High School,"Marketing, Engineering","Arts, Healthcare",Finance,Data Scientist
14,28,Female,High School,"Writing, Healthcare, Finance","Science, Business",Entertainment,Graphic Designer
15,33,Female,High School,"Healthcare, Data Analysis, Design",Technology,Education,Doctor
16,40,Male,Master's,Marketing,Arts,Healthcare,Software Engineer
17,39,Male,High School,"Programming, Finance, Engineering",Business,Healthcare,Marketing Manager
18,47,Other,Master's,"Finance, Programming","Science, Education",Education,Sports Coach
19,48,Other,Bachelor's,"Finance, Engineering",Healthcare,Marketing,Financial Analyst
20,24,Female,Bachelor's,Programming,Arts,IT,Graphic Designer
21,27,Other,Master's,Marketing,"Science, Business",Finance,Doctor
22,39,Female,Bachelor's,"Data Analysis, Engineering, Writing","Business, Healthcare",Healthcare,Sports Coach
23,47,Male,Bachelor's,"Data Analysis, Writing",Healthcare,Finance,Marketing Manager
24,27,Male,High School,Marketing,Technology,Engineering,Financial Analyst
25,41,Other,Bachelor's,"Programming, Writing","Business, Sports",Education,Financial Analyst
26,40,Male,High School,Writing,Business,Marketing,Software Engineer
27,31,Female,Bachelor's,Programming,"Arts, Science",Finance,Financial Analyst
28,39,Male,PhD,Finance,"Education, Business",Finance,Software Engineer
