UserID,Age,Gender,Education,Skills,Interests,Preferred Industry,Career Label
1,21,Female,High School,"Writing, Programming, Healthcare",Healthcare,Education,Doctor
2,59,Other,PhD,"Healthcare, Writing",Sports,Finance,Software Engineer
3,41,Other,PhD,"Healthcare, Marketing, Writing",Healthcare,IT,Data Scientist
4,24,Other,High School,"Finance, Programming, Writing","Sports, Arts",Healthcare,Software Engineer
5,39,Other,Master's,Writing,Engineering,Finance,Artist
6,24,Male,Bachelor's,"Writing, Marketing, Design",Education,IT,Financial Analyst
7,26,Male,High School,"Design, Programming",Arts,Education,Teacher
8,52,Male,PhD,"Finance, Engineering","Technology, Education",Finance,Doctor
9,50,Other,Master's,"Programming, Design, Finance",Engineering,Engineering,Graphic Designer
10,25,Female,High School,"Finance, Marketing",Entertainment,Finance,Doctor
11,44,Other,Master's,Writing,Arts,Entertainment,Teacher
12,37,Male,Master's,Writing,"Sports, Engineering",Arts,Artist
13,19,Male,Bachelor's,"Design, Programming, Healthcare","Engineering, Healthcare",Finance,Marketing Manager
14,60,Female,PhD,"Finance, Healthcare","Arts, Education",Entertainment,Graphic Designer
15,27,Male,Bachelor's,"Finance, Engineering, Marketing","Sports, Entertainment",IT,Sports Coach
16,47,Male,Bachelor's,"Healthcare, Programming, Finance","Technology, Engineering",Finance,Mechanical Engineer
17,18,Female,High School,"Healthcare, Design",Education,Entertainment,Software Engineer
18,39,Female,PhD,"Engineering, Marketing, Design","Education, Sports",Education,Software Engineer
19,19,Male,Bachelor's,Marketing,Education,Entertainment,Teacher
20,44,Female,Bachelor's,"Writing, Programming","Engineering, Arts",IT,Sports Coach
21,33,Other,Master's,"Writing, Programming, Design",Arts,Engineering,Marketing Manager
22,36,Male,High School,"Writing, Healthcare",Entertainment,Engineering,Teacher
23,30,Other,Master's,Writing,"Arts, Education",Engineering,Artist
24,35,Other,PhD,"Design, Writing",Engineering,Healthcare,Artist
25,20,Female,Bachelor's,Finance,"Sports, Engineering",Education,Marketing Manager
26,22,Other,Bachelor's,"Design, Healthcare","Arts, Education",Arts,Mechanical Engineer
27,29,Female,High School,"Programming, Healthcare",Arts,Finance,Doctor
28,53,Male,Bachelor's,"Finance, Writing","Healthcare, Entertainment",IT,Sports Coach
29,46,Male,Master's,"Engineering, Finance, Healthcare","Technology, Education",Finance,Marketing Manager
30,40,Other,Bachelor's,Finance,"Healthcare, Engineering",Engineering,Data Scientist
31,34,Female,PhD,Writing,"Sports, Education",Entertainment,Graphic Designer
32,56,Male,Master's,"Programming, Finance",Entertainment,Entertainment,Marketing Manager
33,25,Male,Master's,Healthcare,Healthcare,Engineering,Doctor
34,30,Female,Bachelor's,"Writing, Engineering",Arts,Healthcare,Mechanical Engineer
35,41,Male,Master's,"Design, Marketing",Education,Healthcare,Financial Analyst
36,60,Other,High School,Engineering,Sports,Engineering,Doctor
37,45,Other,High School,Finance,"Education, Arts",Healthcare,Mechanical Engineer
38,57,Other,PhD,"Writing, Engineering",Healthcare,Entertainment,Data Scientist
39,23,Male,Master's,"Design, Engineering, Programming","Healthcare, Technology",Finance,Data Scientist
